employee_id,name,competency,base_salary,bonus,benefits_vt_vr,other_earnings,deductions_inss,deductions_irrf,other_deductions,net_pay,payment_date
E001,Ana Souza,2025-01,8000,500,600,0,880.0,495.0,0,7725.0,2025-01-28
E001,Ana Souza,2025-02,8000,0,600,200,880.0,472.5,0,7447.5,2025-02-28
E001,Ana Souza,2025-03,8000,800,650,0,880.0,521.25,0,8048.75,2025-03-28
E001,Ana Souza,2025-04,8000,0,650,300,880.0,483.75,0,7586.25,2025-04-28
E001,Ana Souza,2025-05,8000,1200,650,0,880.0,551.25,0,8418.75,2025-05-28
E001,Ana Souza,2025-06,8000,300,650,0,880.0,483.75,0,7586.25,2025-06-28
E002,Bruno Lima,2025-01,6000,500,600,0,660.0,345.0,0,6095.0,2025-01-28
E002,Bruno Lima,2025-02,6000,0,600,200,660.0,322.5,0,5817.5,2025-02-28
E002,Bruno Lima,2025-03,6000,800,650,0,660.0,371.25,0,6418.75,2025-03-28
E002,Bruno Lima,2025-04,6000,0,650,300,660.0,333.75,200,5756.25,2025-04-28
E002,Bruno Lima,2025-05,6000,1200,650,0,660.0,401.25,0,6788.75,2025-05-28
E002,Bruno Lima,2025-06,6000,300,650,0,660.0,333.75,0,5956.25,2025-06-28
E001,Ana Souza,2025-07,8000,0,650,150,880.0,460.0,0,7460.0,2025-07-28
E001,Ana Souza,2025-08,8000,500,650,0,880.0,495.0,0,7775.0,2025-08-28
E001,Ana Souza,2025-09,8000,1000,650,0,880.0,532.5,0,8237.5,2025-09-28
E001,Ana Souza,2025-10,8000,0,650,300,880.0,483.75,0,7566.25,2025-10-28
E001,Ana Souza,2025-11,8000,700,650,0,880.0,515.0,0,7955.0,2025-11-28
E001,Ana Souza,2025-12,8000,1500,700,0,880.0,570.0,0,8750.0,2025-12-28
E002,Bruno Lima,2025-07,6000,0,650,100,660.0,310.0,0,5780.0,2025-07-28
E002,Bruno Lima,2025-08,6000,500,650,0,660.0,345.0,0,6345.0,2025-08-28
E002,Bruno Lima,2025-09,6000,1000,650,0,660.0,382.5,0,6907.5,2025-09-28
E002,Bruno Lima,2025-10,6000,0,650,250,660.0,333.75,0,5906.25,2025-10-28
E002,Bruno Lima,2025-11,6000,600,650,0,660.0,360.0,0,6830.0,2025-11-28
E002,Bruno Lima,2025-12,6000,1000,700,0,660.0,400.0,0,7640.0,2025-12-28
